workerid,explanation,trial
1371,Alex didn't move the box out of Noah's way so Noah ran out of time.,1
1371,Cameron pulled the box out of Ari's way,2
1371,Whitney moved to be in Harper's way and make time run out.,3
1371,Jordan pushed the box to be in Avery's way so Avery didn't have enough time to reached the star,5
1371,Madison had enough time to get to the star even though Darcy was in the way for a moment.,6
1371,Riley had enough time to move around Brook even though Brook tried to get in Riley's way.,7
1371,Cedar moved the box out of Hayden's way,8
1371,There were no blocks in Robin's way,9
1371,Bryce moved the box out of Sloan's way,10
1371,London moved to be in Max's way so Max had to go around London and time ran out.,11
1371,Grey moved to be in Brooklyn's way so Brooklyn had to try and go around the wall but ran out of time.,12
1371,Chandler had enough time to move around Quinn even though Quinn tried to get in Chandler's way.,13
1371,Angel started to go one way but turned around and went another way so time ran out.,14
1371,Kirby went the long way around the wall instead of the shorter way when Flynn moved the box and time ran out.,15
1371,Lake pulled the box out of Morgan's way,16
1371,Atlas pushed a box in the way so River had to go around a wall and ran out of time.,17
1371,Skyler had enough time to reach the star by going around the wall even though Rory tried to block the way by pushing the box.,18
1371,There were no boxes in Taylor's way,19
1371,"Sunny didn't move the box out of Addison's way.
",20
1371,Kris stayed still for a few turns so Cat had time to go the shorter way before Kris moved the box to Block Cat.,21
1371,Emery tried to go one way but turned around and decided to try and go around a wall and time ran out.,22
1371,Indigo failed when Harley moved a box in the way. Indigo did not succeed.,23
1371,There were no boxes and Sasha made sure to move out of Presley's way,24
1371,Kit moved the box out of Parker's way,
1372,"Noah took unnecessary moves, wasting Alex's efforts to remove the box",1
1372,Cameron removed a bx so Ari could reach the star,2
1372,Whitney got in Harper's way,3
1372,Hunter moved the box from Logan's path,4
1372,Jordan blocked Avery's path with a box,5
1372,Madison took the shortest route to the star,6
1372,Riley reached the star in spite of taking a route that was not the most efficient,7
1372,Cedar moved the box to allow Hayden to reach the star,8
1372,Robin took the shortest route to the star,9
1372,Blue moved the box from red's path,10
1372,Max did not take the shortest route to the star and ran out of moves,11
1372,Brooklyn did not take the shortest route to the star,12
1372,Chandler moved around Quinn to reach the star,13
1372,Angel wasted turns and ran out before reaching the star,14
1372,Kirby did not accept Flynn's help moving the box and ran out of moves,15
1372,Lake moved the box out of the way for Morgan,16
1372,Red trusted blue who blocked red,17
1372,Skyler took the guaranteed route to avoid the box and reach the star,18
1372,Taylor reach the star and Oakley did nothing,19
1372,Sunny failed to move the box,20
1372,Cat took the shortest route to the star,21
1372,Emery did not take the shortest route to the star,22
1372,Harley blocked Indigo,23
1372,Presley took the shortest route to the star,24
1373,Alex was trying to avoid Noah to get to the star,1
1373,Cameron took away the box,2
1373,Hasper was moving to close to Whitney ,3
