workerid,resp,trial
1236,90,
1236,92,
1236,95,22
1236,59,7
1236,86,8
1236,93,3
1236,78,10
1236,44,6
1236,73,15
1236,26,2
1236,83,12
1236,94,18
1236,3,24
1236,93,21
1236,96,11
1236,82,13
1236,23,16
1236,80,5
1236,100,19
1236,100,9
1236,26,4
1236,76,1
1236,94,23
1236,95,17
1218,99,
1218,99,20
1218,100,18
1218,0,13
1218,18,22
1218,0,11
1218,99,9
1218,2,12
1218,9,15
1218,97,6
1218,99,5
1218,0,21
1218,4,10
1218,1,3
1218,98,4
1218,2,23
1218,0,24
1218,3,19
1218,99,14
1218,98,17
1218,1,16
1218,98,7
1218,98,8
1218,1,2
1232,97,
1232,100,
1232,84,15
1232,100,9
1232,95,7
1232,33,3
1232,85,14
1232,94,19
1232,86,5
1232,40,23
1232,91,18
1232,84,20
1232,30,13
1232,69,2
1232,93,4
1232,99,1
1232,99,6
1232,97,17
1232,90,11
1232,93,8
1232,92,21
1232,98,22
1232,27,10
1232,19,24
1239,98,
1239,98,20
1239,3,16
1239,98,9
1239,97,19
1239,99,7
1239,98,6
1239,98,5
1239,100,22
1239,4,13
1239,0,12
1239,99,1
1239,99,2
1239,2,3
1239,67,21
1239,98,15
1239,99,18
1239,0,24
1239,98,17
1239,99,14
1239,96,8
1239,1,11
1239,99,4
1239,1,10
1204,82,3
1204,4,16
1204,98,2
1204,98,4
1204,98,7
1204,99,1
1204,98,6
1204,99,14
1204,98,19
1204,0,12
1204,1,23
1204,99,17
1204,3,13
1204,99,9
1204,99,15
1204,60,11
1204,97,18
1204,99,8
1204,2,24
1204,98,22
1204,73,21
1204,99,5
1204,24,10
1204,99,20
1244,86,
1244,38,12
1244,50,21
1244,86,19
1244,98,1
1244,88,4
1244,68,14
1244,29,11
1244,99,17
1244,14,10
1244,78,15
1244,86,9
1244,90,18
1244,88,22
1244,27,24
1244,59,3
1244,81,5
1244,68,20
1244,74,7
1244,4,23
1244,98,6
1244,80,2
1244,74,16
1244,40,13
1251,99,
1251,98,
1251,97,5
1251,99,8
1251,1,24
1251,98,1
1251,98,14
1251,98,22
1251,17,10
1251,98,20
1251,22,13
1251,96,19
1251,99,2
1251,97,4
1251,78,21
1251,98,6
1251,75,3
1251,3,11
1251,28,16
1251,1,12
1251,97,18
1251,98,17
1251,87,7
1251,2,23
1209,1,13
1209,78,19
1209,0,23
1209,15,16
1209,92,15
1209,79,22
1209,100,1
1209,100,9
1209,98,4
1209,87,8
1209,0,24
1209,70,2
1209,0,12
1209,31,21
1209,91,18
1209,94,20
1209,100,7
1209,90,17
1209,0,11
1209,100,14
1209,29,3
1209,100,5
1209,100,6
1209,1,10
1248,100,
1248,84,5
1248,100,4
1248,27,10
1248,0,16
1248,56,24
1248,100,17
1248,100,1
1248,9,3
1248,90,15
1248,0,13
1248,100,22
1248,98,2
1248,92,19
1248,83,7
1248,100,14
1248,0,23
1248,100,6
1248,100,9
1248,100,8
1248,67,21
1248,32,11
1248,16,12
1248,100,18
1216,8,12
1216,96,1
1216,87,20
1216,76,15
1216,50,10
1216,72,17
1216,17,23
1216,72,19
1216,81,18
1216,70,11
1216,49,13
1216,88,6
1216,38,16
1216,91,8
1216,82,9
1216,72,2
1216,1,24
1216,78,21
1216,87,14
1216,1,3
1216,85,5
1216,92,4
1216,88,7
1216,82,22
1211,0,23
1211,0,24
1211,1,3
1211,98,14
1211,100,6
1211,100,5
1211,0,16
1211,100,18
1211,0,13
1211,53,2
1211,85,15
1211,87,22
1211,93,7
1211,81,21
1211,71,19
1211,87,11
1211,77,20
1211,80,8
1211,96,9
1211,18,12
1211,82,10
1211,95,17
1211,82,1
1211,87,4
1223,100,
1223,100,
1223,99,6
1223,75,8
1223,99,1
1223,1,21
1223,87,18
1223,76,15
1223,28,23
1223,83,14
1223,0,10
1223,0,13
1223,100,9
1223,98,7
1223,3,16
1223,74,19
1223,34,4
1223,100,5
1223,1,11
1223,100,17
1223,61,3
1223,0,12
1223,99,22
1223,100,20
1213,98,14
1213,49,3
1213,76,21
1213,95,20
1213,68,1
1213,99,4
1213,99,9
1213,99,6
1213,3,12
1213,96,8
1213,91,5
1213,7,13
1213,99,17
1213,30,11
1213,0,16
1213,99,15
1213,1,24
1213,92,22
1213,64,2
1213,1,23
1213,97,7
1213,98,18
1213,99,19
1213,14,10
1233,80,
1233,3,3
1233,85,8
1233,25,10
1233,78,16
1233,93,5
1233,91,2
1233,88,22
1233,60,13
1233,93,21
1233,98,6
1233,91,19
1233,84,11
1233,92,15
1233,99,18
1233,6,23
1233,90,7
1233,97,20
1233,95,17
1233,98,14
1233,2,24
1233,95,4
1233,97,1
1233,98,9
1195,100,18
1195,99,3
1195,0,24
1195,0,13
1195,100,1
1195,100,4
1195,5,10
1195,0,16
1195,4,11
1195,100,8
1195,9,12
1195,99,15
1195,100,22
1195,99,19
1195,100,6
1195,12,23
1195,100,17
1195,100,5
1195,20,21
1195,100,14
1195,97,9
1195,99,7
1195,100,20
1195,100,2
1222,98,
1222,75,3
1222,4,24
1222,99,6
1222,98,22
1222,97,4
1222,7,23
1222,98,7
1222,2,13
1222,48,21
1222,16,10
1222,3,12
1222,100,20
1222,98,15
1222,98,18
1222,98,5
1222,98,19
1222,64,2
1222,97,9
1222,7,11
1222,14,16
1222,100,17
1222,98,14
1222,70,1
1202,75,
1202,87,1
1202,1,21
1202,55,16
1202,2,3
1202,74,9
1202,0,24
1202,86,5
1202,74,22
1202,20,23
1202,1,13
1202,96,6
1202,85,18
1202,73,14
1202,24,10
1202,83,4
1202,98,17
1202,86,19
1202,67,8
1202,89,7
1202,34,11
1202,70,12
1202,23,2
1202,93,15
1214,74,15
1214,100,4
1214,0,10
1214,100,1
1214,90,24
1214,37,7
1214,0,16
1214,69,14
1214,0,12
1214,0,23
1214,100,6
1214,100,20
1214,100,2
1214,22,5
1214,8,21
1214,100,18
1214,0,11
1214,0,13
1214,100,9
1214,67,22
1214,88,8
1214,59,3
1214,100,17
1214,89,19
1231,88,
1231,6,23
1231,71,24
1231,86,4
1231,99,18
1231,98,15
1231,97,5
1231,76,21
1231,97,14
1231,96,11
1231,65,10
1231,97,19
1231,99,6
1231,99,9
1231,97,8
1231,87,3
1231,84,2
1231,98,22
1231,94,7
1231,94,20
1231,98,17
1231,98,1
1231,65,13
1231,79,16
1199,100,
1199,100,14
1199,99,7
1199,100,9
1199,0,3
1199,97,8
1199,0,13
1199,82,19
1199,82,5
1199,81,2
1199,100,17
1199,0,23
1199,0,12
1199,100,18
1199,50,22
1199,92,16
1199,0,10
1199,0,21
1199,64,15
1199,100,6
1199,0,1
1199,66,20
1199,0,11
1199,13,24
1197,56,16
1197,100,17
1197,100,15
1197,98,2
1197,3,10
1197,100,9
1197,62,5
1197,100,6
1197,97,7
1197,92,4
1197,98,18
1197,2,3
1197,75,14
1197,93,1
1197,0,12
1197,83,22
1197,80,19
1197,3,23
1197,0,13
1197,94,8
1197,0,24
1197,49,21
1197,3,11
1197,97,20
1227,89,14
1227,12,3
1227,94,15
1227,73,22
1227,22,24
1227,5,12
1227,79,19
1227,10,11
1227,90,4
1227,1,10
1227,94,7
1227,4,1
1227,97,17
1227,97,8
1227,94,5
1227,0,23
1227,5,13
1227,100,9
1227,95,18
1227,19,2
1227,43,16
1227,96,6
1227,51,20
1227,28,21
1235,2,13
1235,68,19
1235,23,16
1235,0,11
1235,0,23
1235,99,17
1235,16,21
1235,100,6
1235,0,1
1235,78,18
1235,74,20
1235,96,3
1235,94,7
1235,82,2
1235,100,4
1235,79,8
1235,0,24
1235,10,10
1235,100,14
1235,100,15
1235,100,5
1235,59,22
1235,99,9
1235,0,12
1234,83,
1234,97,2
1234,21,21
1234,63,5
1234,21,3
1234,58,16
1234,1,13
1234,77,22
1234,94,9
1234,7,10
1234,1,23
1234,1,12
1234,98,15
1234,96,6
1234,76,1
1234,85,4
1234,14,11
1234,82,7
1234,91,18
1234,87,19
1234,89,17
1234,92,14
1234,5,24
1234,83,20
1245,100,9
1245,100,4
1245,88,22
1245,76,15
